Scientific (AviList),English (AviList)
Cisticola ayresii ayresii,
Cisticola exilis,Golden-headed Cisticola
Cisticola exilis tytleri,
Cisticola exilis erythrocephalus,
Cisticola exilis equicaudatus,
Cisticola exilis courtoisi,
Cisticola exilis volitans,
Cisticola exilis semirufus,
Cisticola exilis rusticus,
Cisticola exilis lineocapilla,
Cisticola exilis diminutus,
Cisticola exilis alexandrae,
Cisticola exilis exilis,
Cisticola exilis polionotus,
Acrocephalidae,
Graueria,
Graueria vittata,Grauer's Warbler
Nesillas,
Nesillas aldabrana,Aldabra Brush Warbler
Nesillas typica,Malagasy Brush Warbler
Nesillas typica moheliensis,
Nesillas typica obscura,
Nesillas typica ellisii,
Nesillas typica typica,
Nesillas typica longicaudata,
Nesillas lantzii,Subdesert Brush Warbler
Nesillas brevicaudata,Grande Comore Brush Warbler
Nesillas mariae,Moheli Brush Warbler
Hippolais,
Hippolais icterina,Icterine Warbler
Hippolais polyglotta,Melodious Warbler
Hippolais languida,Upcher's Warbler
Hippolais olivetorum,Olive-tree Warbler
Arundinax,
Arundinax aedon,Thick-billed Warbler
Arundinax aedon aedon,
Arundinax aedon rufescens,
Iduna,
Iduna caligata,Booted Warbler
Iduna rama,Sykes's Warbler
Iduna pallida,Eastern Olivaceous Warbler
Iduna pallida elaeica,
Iduna pallida reiseri,
Iduna pallida pallida,
Iduna pallida alulensis,
Iduna pallida laeneni,
Iduna opaca,Western Olivaceous Warbler
Iduna similis,Mountain Yellow Warbler
Iduna natalensis,African Yellow Warbler
Iduna natalensis batesi,
Iduna natalensis massaica,
Iduna natalensis major,
Iduna natalensis natalensis,
Calamonastides,
Calamonastides gracilirostris,Papyrus Yellow Warbler
Calamonastides gracilirostris gracilirostris,
Calamonastides gracilirostris bensoni,
Acrocephalus,
Acrocephalus schoenobaenus,Sedge Warbler
Acrocephalus bistrigiceps,Black-browed Reed Warbler
Acrocephalus sorghophilus,Speckled Reed Warbler
Acrocephalus paludicola,Aquatic Warbler
Acrocephalus melanopogon,Moustached Warbler
Acrocephalus melanopogon melanopogon,
Acrocephalus melanopogon mimicus,
Acrocephalus melanopogon albiventris,
Acrocephalus agricola,Paddyfield Warbler
Acrocephalus tangorum,Manchurian Reed Warbler
Acrocephalus concinens,Blunt-winged Warbler
Acrocephalus concinens haringtoni,
Acrocephalus concinens stevensi,
Acrocephalus concinens concinens,
Acrocephalus dumetorum,Blyth's Reed Warbler
Acrocephalus orinus,Large-billed Reed Warbler
Acrocephalus palustris,Marsh Warbler
Acrocephalus scirpaceus,Common Reed Warbler
Acrocephalus scirpaceus scirpaceus,
Acrocephalus scirpaceus fuscus,
Acrocephalus scirpaceus avicenniae,
Acrocephalus scirpaceus ammon,
Acrocephalus scirpaceus ambiguus,
Acrocephalus scirpaceus minor,
Acrocephalus scirpaceus cinnamomeus,
Acrocephalus scirpaceus suahelicus,
Acrocephalus scirpaceus hallae,
Acrocephalus scirpaceus baeticatus,
Acrocephalus griseldis,Basra Reed Warbler
Acrocephalus sechellensis,Seychelles Warbler
Acrocephalus newtoni,Madagascar Swamp Warbler
Acrocephalus rodericanus,Rodrigues Warbler
Acrocephalus gracilirostris,Lesser Swamp Warbler
Acrocephalus gracilirostris neglectus,
Acrocephalus gracilirostris tsanae,
Acrocephalus gracilirostris jacksoni,
Acrocephalus gracilirostris parvus,
Acrocephalus gracilirostris leptorhynchus,
Acrocephalus gracilirostris winterbottomi,
Acrocephalus gracilirostris cunenensis,
Acrocephalus gracilirostris gracilirostris,
Acrocephalus brevipennis,Cape Verde Warbler
Acrocephalus rufescens,Greater Swamp Warbler
Acrocephalus rufescens senegalensis,
Acrocephalus rufescens rufescens,
Acrocephalus rufescens chadensis,
Acrocephalus rufescens ansorgei,
Acrocephalus arundinaceus,Great Reed Warbler
Acrocephalus arundinaceus arundinaceus,
Acrocephalus arundinaceus zarudnyi,
Acrocephalus orientalis,Oriental Reed Warbler
Acrocephalus stentoreus,Clamorous Reed Warbler
Acrocephalus stentoreus stentoreus,
Acrocephalus stentoreus levantinus,
Acrocephalus stentoreus brunnescens,
Acrocephalus stentoreus amyae,
Acrocephalus stentoreus meridionalis,
Acrocephalus stentoreus siebersi,
Acrocephalus stentoreus harterti,
Acrocephalus stentoreus celebensis,
Acrocephalus stentoreus lentecaptus,
Acrocephalus luscinius,Nightingale Reed Warbler
Acrocephalus hiwae,Saipan Reed Warbler
Acrocephalus australis,Australian Reed Warbler
Acrocephalus australis sumbae,
Acrocephalus australis gouldi,
Acrocephalus australis australis,
Acrocephalus syrinx,Caroline Reed Warbler
Acrocephalus nijoi,Aguiguan Reed Warbler
Acrocephalus aequinoctialis,Bokikokiko
Acrocephalus aequinoctialis aequinoctialis,
Acrocephalus aequinoctialis pistor,
Acrocephalus mendanae,Southern Marquesan Reed Warbler
Acrocephalus mendanae dido,
Acrocephalus mendanae mendanae,
Acrocephalus mendanae consobrina,
Acrocephalus mendanae fatuhivae,
Acrocephalus yamashinae,Pagan Reed Warbler
Acrocephalus rehsei,Nauru Reed Warbler
Acrocephalus familiaris,Millerbird
Acrocephalus familiaris familiaris,
Acrocephalus familiaris kingi,
Acrocephalus vaughani,Pitcairn Reed Warbler
Acrocephalus taiti,Henderson Reed Warbler
Acrocephalus rimitarae,Rimatara Reed Warbler
Acrocephalus kerearako,Cook Reed Warbler
Acrocephalus kerearako kerearako,
Acrocephalus kerearako kaoko,
Acrocephalus musae,Garrett's Reed Warbler
Acrocephalus musae musae,
Acrocephalus musae garretti,
Acrocephalus caffer,Tahiti Reed Warbler
Acrocephalus longirostris,Moorea Reed Warbler
Acrocephalus percernis,Northern Marquesan Reed Warbler
Acrocephalus percernis postremus,
Acrocephalus percernis aquilonis,
Acrocephalus percernis percernis,
Acrocephalus percernis idae,
Acrocephalus astrolabii,Mangareva Reed Warbler
Acrocephalus atyphus,Tuamotu Reed Warbler
Acrocephalus atyphus atyphus,
Acrocephalus atyphus eremus,
Acrocephalus atyphus niauensis,
Acrocephalus atyphus palmarum,
Acrocephalus atyphus ravus,
Acrocephalus atyphus flavidus,
Donacobiidae,
Donacobius,
Donacobius atricapilla,Black-capped Donacobius
Donacobius atricapilla brachypterus,
Donacobius atricapilla nigrodorsalis,
Donacobius atricapilla atricapilla,
Donacobius atricapilla albovittatus,
Bernieridae,
Crossleyia,
Crossleyia xanthophrys,Madagascar Yellowbrow
Crossleyia tenebrosa,Dusky Tetraka
Xanthomixis,
Xanthomixis zosterops,Spectacled Tetraka
Xanthomixis zosterops fulvescens,
Xanthomixis zosterops andapae,
Xanthomixis zosterops zosterops,
Xanthomixis zosterops ankafanae,
Xanthomixis apperti,Appert's Tetraka
Xanthomixis cinereiceps,Grey-crowned Tetraka
Hartertula,
Hartertula flavoviridis,Wedge-tailed Jery
Thamnornis,
Thamnornis chloropetoides,Thamnornis
Randia,
Randia pseudozosterops,Rand's Warbler
Cryptosylvicola,
Cryptosylvicola randrianasoloi,Cryptic Warbler
Oxylabes,
Oxylabes madagascariensis,White-throated Oxylabes
Bernieria,
Bernieria madagascariensis,Long-billed Bernieria
Bernieria madagascariensis madagascariensis,
Bernieria madagascariensis incelebris,
Locustellidae,
Robsonius,
Robsonius rabori,Cordillera Ground Warbler
Robsonius thompsoni,Sierra Madre Ground Warbler
Robsonius sorsogonensis,Bicol Ground Warbler
Helopsaltes,
Helopsaltes fasciolatus,Gray's Grasshopper Warbler
Helopsaltes amnicola,Sakhalin Grasshopper Warbler
Helopsaltes pryeri,Marsh Grassbird
Helopsaltes pryeri sinensis,
Helopsaltes pryeri pryeri,
Helopsaltes pleskei,Styan's Grasshopper Warbler
Helopsaltes ochotensis,Middendorff's Grasshopper Warbler
Helopsaltes certhiola,Pallas's Grasshopper Warbler
Helopsaltes certhiola certhiola,
Helopsaltes certhiola sparsimstriatus,
Helopsaltes certhiola centralasiae,
Helopsaltes certhiola rubescens,
Helopsaltes certhiola minor,
Locustella,
Locustella lanceolata,Lanceolated Warbler
Locustella lanceolata hendersonii,
Locustella lanceolata lanceolata,
Locustella alfredi,Bamboo Warbler
Locustella alfredi kungwensis,
Locustella alfredi alfredi,
Locustella fluviatilis,River Warbler
Locustella luscinioides,Savi's Warbler
Locustella luscinioides luscinioides,
Locustella luscinioides sarmatica,
Locustella luscinioides fusca,
Locustella luteoventris,Brown Bush Warbler
Locustella tacsanowskia,Chinese Bush Warbler
Locustella major,Long-billed Bush Warbler
Locustella major major,
Locustella major innae,
Locustella naevia,Common Grasshopper Warbler
Locustella naevia naevia,
Locustella naevia straminea,
Locustella naevia obscurior,
Locustella accentor,Friendly Bush Warbler
Locustella caudata,Long-tailed Bush Warbler
Locustella caudata caudata,
Locustella caudata unicolor,
Locustella caudata malindangensis,
Locustella castanea,Sulawesi Bush Warbler
Locustella castanea castanea,
Locustella castanea everetti,
Locustella musculus,Seram Bush Warbler
Locustella disturbans,Buru Bush Warbler
Locustella portenta,Taliabu Bush Warbler
Locustella davidi,Baikal Bush Warbler
Locustella davidi davidi,
Locustella davidi suschkini,
Locustella thoracica,Spotted Bush Warbler
Locustella kashmirensis,West Himalayan Bush Warbler
Locustella alishanensis,Taiwan Bush Warbler
Locustella seebohmi,Benguet Bush Warbler
Locustella montis,Javan Bush Warbler
Locustella montis montis,
Locustella montis timorensis,
Locustella chengi,Sichuan Bush Warbler
Locustella idonea,Dalat Bush Warbler
Locustella mandelli,Russet Bush Warbler
Locustella mandelli mandelli,
Locustella mandelli melanorhyncha,
Elaphrornis,
Elaphrornis palliseri,Sri Lanka Bush Warbler
Schoenicola,
Schoenicola striatus,Bristled Grassbird
Schoenicola platyurus,Broad-tailed Grassbird
Catriscus,
Catriscus brevirostris,Fan-tailed Grassbird
Catriscus brevirostris alexinae,
Catriscus brevirostris brevirostris,
Megalurus,
Megalurus palustris,Striated Grassbird
Megalurus palustris toklao,
Megalurus palustris palustris,
Megalurus palustris forbesi,
Bradypterus,
Bradypterus sylvaticus,Knysna Warbler
Bradypterus sylvaticus sylvaticus,
Bradypterus sylvaticus pondoensis,
Bradypterus bangwaensis,Bangwa Forest Warbler
Bradypterus barratti,Barratt's Warbler
Bradypterus barratti barratti,
Bradypterus barratti godfreyi,
Bradypterus barratti cathkinensis,
Bradypterus barratti priesti,
Bradypterus lopezi,Evergreen Forest Warbler
Bradypterus lopezi lopezi,
Bradypterus lopezi manengubae,
Bradypterus lopezi camerunensis,
Bradypterus lopezi barakae,
Bradypterus lopezi mariae,
Bradypterus lopezi usambarae,
Bradypterus lopezi ufipae,
Bradypterus lopezi granti,
Bradypterus lopezi boultoni,
Bradypterus cinnamomeus,Cinnamon Bracken Warbler
Bradypterus cinnamomeus cavei,
Bradypterus cinnamomeus cinnamomeus,
Bradypterus cinnamomeus mildbreadi,
Bradypterus cinnamomeus nyassae,
Bradypterus seebohmi,Grey Emutail
Bradypterus brunneus,Brown Emutail
Bradypterus grandis,Dja River Scrub Warbler
Bradypterus baboecala,Little Rush Warbler
Bradypterus baboecala chadensis,
Bradypterus baboecala abyssinicus,
Bradypterus baboecala tongensis,
Bradypterus baboecala msiri,
Bradypterus baboecala benguellensis,
Bradypterus baboecala transvaalensis,
Bradypterus baboecala baboecala,
Bradypterus carpalis,White-winged Swamp Warbler
Bradypterus graueri,Grauer's Swamp Warbler
Bradypterus centralis,Highland Rush Warbler
Bradypterus centralis sudanensis,
Bradypterus centralis elgonensis,
Bradypterus centralis centralis,
Poodytes,
Poodytes albolimbatus,Fly River Grassbird
Poodytes carteri,Spinifexbird
Poodytes gramineus,Little Grassbird
Poodytes gramineus papuensis,
Poodytes gramineus goulburni,
Poodytes gramineus thomasi,
Poodytes gramineus gramineus,
Poodytes punctatus,New Zealand Fernbird
Poodytes punctatus vealeae,
Poodytes punctatus punctatus,
Poodytes punctatus stewartianus,
Poodytes punctatus wilsoni,
Poodytes punctatus caudatus,
Poodytes rufescens,Chatham Islands Fernbird
Malia,
Malia grata,Malia
Malia grata recondita,
Malia grata stresemanni,
Malia grata grata,
Cincloramphus,
Cincloramphus cruralis,Brown Songlark
Cincloramphus grosvenori,New Britain Thicketbird
Cincloramphus rubiginosus,Rusty Thicketbird
Cincloramphus bivittatus,Buff-banded Thicketbird
Cincloramphus mathewsi,Rufous Songlark
Cincloramphus timoriensis,Tawny Grassbird
Cincloramphus timoriensis tweeddalei,
Cincloramphus timoriensis alopex,
Cincloramphus timoriensis amboinensis,
Cincloramphus timoriensis crex,
Cincloramphus timoriensis mindorensis,
Cincloramphus timoriensis celebensis,
Cincloramphus timoriensis inquirendus,
Cincloramphus timoriensis timoriensis,
Cincloramphus timoriensis muscalis,
Cincloramphus timoriensis alisteri,
Cincloramphus macrurus,Papuan Grassbird
Cincloramphus macrurus stresemanni,
Cincloramphus macrurus macrurus,
Cincloramphus macrurus harterti,
Cincloramphus macrurus alpinus,
Cincloramphus macrurus interscapularis,
Cincloramphus whitneyi,Santo Thicketbird
Cincloramphus turipavae,Guadalcanal Thicketbird
Cincloramphus mariae,New Caledonian Thicketbird
Cincloramphus rufus,Long-legged Thicketbird
Cincloramphus rufus rufus,
Cincloramphus rufus cluniei,
Cincloramphus llaneae,Bougainville Thicketbird
Pnoepygidae,
Pnoepyga,
Pnoepyga albiventer,Scaly-breasted Cupwing
Pnoepyga albiventer pallidior,
Pnoepyga albiventer albiventer,
Pnoepyga albiventer mutica,
Pnoepyga formosana,Taiwan Cupwing
Pnoepyga immaculata,Nepal Cupwing
Pnoepyga pusilla,Pygmy Cupwing
Pnoepyga pusilla pusilla,
Pnoepyga pusilla annamensis,
Pnoepyga pusilla harterti,
Pnoepyga pusilla lepida,
Pnoepyga pusilla rufa,
Pnoepyga pusilla everetti,
Pnoepyga pusilla timorensis,
Hirundinidae,
Pseudochelidon,
Pseudochelidon eurystomina,African River Martin
Pseudochelidon sirintarae,White-eyed River Martin
Psalidoprocne,
Psalidoprocne obscura,Fanti Saw-wing
Psalidoprocne nitens,Square-tailed Saw-wing
Psalidoprocne nitens nitens,
Psalidoprocne nitens centralis,
Psalidoprocne fuliginosa,Mountain Saw-wing
Psalidoprocne albiceps,White-headed Saw-wing
Psalidoprocne albiceps albiceps,
Psalidoprocne albiceps suffusa,
Psalidoprocne pristoptera,Black Saw-wing
Psalidoprocne pristoptera pristoptera,
Psalidoprocne pristoptera blanfordi,
Psalidoprocne pristoptera antinorii,
Psalidoprocne pristoptera oleaginea,
Psalidoprocne pristoptera mangbettorum,
Psalidoprocne pristoptera chalybea,
Psalidoprocne pristoptera petiti,
Psalidoprocne pristoptera ruwenzori,
Psalidoprocne pristoptera orientalis,
Psalidoprocne pristoptera reichenowi,
Psalidoprocne pristoptera massaica,
Psalidoprocne pristoptera holomelas,
Cheramoeca,
Cheramoeca leucosterna,White-backed Swallow
Pseudhirundo,
Pseudhirundo griseopyga,Grey-rumped Swallow
Pseudhirundo griseopyga melbina,
Pseudhirundo griseopyga griseopyga,
Phedina,
Phedina borbonica,Mascarene Martin
Phedina borbonica madagascariensis,
Phedina borbonica borbonica,
Phedinopsis,
Phedinopsis brazzae,Brazza's Martin
Neophedina,
Neophedina cincta,Banded Martin
Neophedina cincta erlangeri,
Neophedina cincta suahelica,
Neophedina cincta parvula,
Neophedina cincta xerica,
Neophedina cincta cincta,
Riparia,
Riparia congica,Congo Martin
Riparia riparia,Sand Martin
Riparia riparia riparia,
Riparia riparia taczanowskii,
Riparia riparia ijimae,
Riparia riparia shelleyi,
Riparia diluta,Pale Martin
Riparia diluta diluta,
Riparia diluta indica,
Riparia diluta tibetana,
Riparia diluta fohkienensis,
Riparia chinensis,Grey-throated Martin
Riparia chinensis chinensis,
Riparia chinensis tantilla,
Riparia cowani,Madagascar Martin
Riparia paludicola,Brown-throated Martin
Riparia paludicola mauritanica,
Riparia paludicola minor,
Riparia paludicola schoensis,
Riparia paludicola newtoni,
Riparia paludicola ducis,
Riparia paludicola paludicola,
Tachycineta,
Tachycineta bicolor,Tree Swallow
Tachycineta stolzmanni,Tumbes Swallow
Tachycineta albiventer,White-winged Swallow
Tachycineta leucorrhoa,White-rumped Swallow
Tachycineta leucopyga,Chilean Swallow
Tachycineta albilinea,Mangrove Swallow
Tachycineta euchrysea,Golden Swallow
Tachycineta euchrysea euchrysea,
Tachycineta euchrysea sclateri,
Tachycineta thalassina,Violet-green Swallow
Tachycineta thalassina thalassina,
Tachycineta thalassina brachyptera,
Tachycineta cyaneoviridis,Bahama Swallow
Progne,
Progne subis,Purple Martin
Progne subis subis,
Progne subis hesperia,
Progne subis arboricola,
Progne cryptoleuca,Cuban Martin
Progne dominicensis,Caribbean Martin
Progne sinaloae,Sinaloa Martin
Progne chalybea,Grey-breasted Martin
Progne chalybea chalybea,
Progne chalybea warneri,
Progne chalybea macrorhamphus,
Progne elegans,Southern Martin
Progne murphyi,Peruvian Martin
Progne modesta,Galapagos Martin
Progne tapera,Brown-chested Martin
Progne tapera tapera,
Progne tapera fusca,
Stelgidopteryx,
Stelgidopteryx ruficollis,Southern Rough-winged Swallow
Stelgidopteryx ruficollis decolor,
Stelgidopteryx ruficollis uropygialis,
Stelgidopteryx ruficollis aequalis,
Stelgidopteryx ruficollis ruficollis,
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Stelgidopteryx serripennis serripennis,
Stelgidopteryx serripennis psammochroa,
Stelgidopteryx serripennis fulvipennis,
Stelgidopteryx serripennis ridgwayi,
Stelgidopteryx serripennis stuarti,
Stelgidopteryx serripennis burleighi,
Atticora,
Atticora pileata,Black-capped Swallow
Atticora tibialis,White-thighed Swallow
Atticora tibialis minima,
Atticora tibialis griseiventris,
Atticora tibialis tibialis,
Atticora fasciata,White-banded Swallow
Pygochelidon,
Pygochelidon melanoleuca,Black-collared Swallow
Pygochelidon cyanoleuca,Blue-and-white Swallow
Pygochelidon cyanoleuca cyanoleuca,
Pygochelidon cyanoleuca peruviana,
Pygochelidon cyanoleuca patagonica,
Alopochelidon,
Alopochelidon fucata,Tawny-headed Swallow
Orochelidon,
Orochelidon flavipes,Pale-footed Swallow
Orochelidon murina,Brown-bellied Swallow
Orochelidon murina meridensis,
Orochelidon murina murina,
Orochelidon murina cyanodorsalis,
Orochelidon andecola,Andean Swallow
Orochelidon andecola oroyae,
Orochelidon andecola andecola,
Ptyonoprogne,
Ptyonoprogne fuligula,Large Rock Martin
Ptyonoprogne fuligula pretoriae,
Ptyonoprogne fuligula anderssoni,
Ptyonoprogne fuligula fuligula,
Ptyonoprogne concolor,Dusky Crag Martin
Ptyonoprogne concolor concolor,
Ptyonoprogne concolor sintaungensis,
Ptyonoprogne rupestris,Eurasian Crag Martin
Ptyonoprogne rufigula,Red-throated Rock Martin
Ptyonoprogne rufigula pusilla,
Ptyonoprogne rufigula rufigula,
Ptyonoprogne rufigula bansoensis,
